"Species_Name" "tiplabel" "gen" "fam" "ord" "clade" "higher" "MSW3_sciName_matched" "genes" "extinct." "samp" "harmMeans_mamPhy" "medians_mamPhy" "means_mamPhy" "low95_mamPhy" "high95_mamPhy" "CIwidth_mamPhy" "harmMeans_FS" "medians_FS" "means_FS" "low95_FS" "high95_FS" "CIwidth_FS" "harmMeans_KUHN" "medians_KUHN" "means_KUHN" "low95_KUHN" "high95_KUHN" "CIwidth_KUHN" "harmMeans_HEDGES"
"1" "Abditomys_latidens" "Abditomys_latidens_MURIDAE_RODENTIA" "Abditomys" "MURIDAE" "RODENTIA" "Mouse-related" "Euarchontoglires" "Abditomys_latidens" 0 0 "imputed" 0.140754693206002 0.158815692349466 0.173489141639542 0.0599799651242649 0.366898792597122 0.306918827472857 0.339867019637229 0.367306546635018 0.416365814135621 0.16764459536651 0.924557255624324 0.756912660257814 0.099238131563224 0.104194331853976 0.105392916299715 0.0650011951534102 0.161338573187434 0.0963373780340236 NA
"2" "Abeomelomys_sevia" "Abeomelomys_sevia_MURIDAE_RODENTIA" "Abeomelomys" "MURIDAE" "RODENTIA" "Mouse-related" "Euarchontoglires" "Abeomelomys_sevia" 5 0 "sampled" 0.115885268504534 0.114007516137286 0.134393027485249 0.0754203557526113 0.28029338520409 0.204873029451479 0.159074517355973 0.169691520735198 0.190315062675058 0.0790106413866242 0.421490254335429 0.342479612948805 0.108312340691929 0.10680380473827 0.112291202418721 0.0809378060298679 0.166492317931515 0.0855545119016475 0.11012008394917
"3" "Abrawayaomys_chebezi" "Abrawayaomys_chebezi_CRICETIDAE_RODENTIA" "Abrawayaomys" "CRICETIDAE" "RODENTIA" "Mouse-related" "Euarchontoglires" NA 0 0 "imputed" 0.160840273154614 0.193321293969453 0.201241927510034 0.0644630035595971 0.389226793141533 0.324763789581936 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "Abrawayaomys_ruschii" "Abrawayaomys_ruschii_CRICETIDAE_RODENTIA" "Abrawayaomys" "CRICETIDAE" "RODENTIA" "Mouse-related" "Euarchontoglires" "Abrawayaomys_ruschii" 0 0 "imputed" 0.160840273154614 0.193321293969453 0.201241927510034 0.0644630035595971 0.389226793141533 0.324763789581936 0.150093680440334 0.159286714482712 0.172368003320871 0.0790866921306978 0.345792394807076 0.266705702676378 0.126045912036613 0.137143033805737 0.141453859700094 0.0676579663626632 0.250644175291903 0.18298620892924 NA
"5" "Abrocoma_bennettii" "Abrocoma_bennettii_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_bennettii" 23 0 "sampled" 0.14148426888608 0.147171811332284 0.153075672666959 0.0921101730487232 0.248307322771082 0.156197149722359 0.0735367357762403 0.0753244418856268 0.081350002264328 0.0447033489881615 0.150273613187908 0.105570264199747 0.0604336262199203 0.063440038315356 0.0677933369232764 0.0328308278193728 0.135438411639118 0.102607583819746 0.0973217019474001
"6" "Abrocoma_boliviensis" "Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_boliviensis" 1 0 "sampled" 0.119619488157126 0.129856342762225 0.13341247466775 0.069179582870247 0.227122015767386 0.157942432897139 0.0735367357762403 0.0753244418856268 0.081350002264328 0.0447033489881615 0.150273613187908 0.105570264199747 0.0572667795188551 0.0607735562364752 0.0642581393013056 0.0318669854856179 0.120637829794084 0.088770844308466 0.0653601350325557
"7" "Abrocoma_budini" "Abrocoma_budini_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_budini" 0 0 "imputed" 0.158307341524901 0.17456788602111 0.175267947240253 0.0777076153134922 0.273866619447469 0.196159004133977 0.103130060247702 0.112310836256709 0.118068193887474 0.0531056809106159 0.216494303755173 0.163388622844557 0.082221982940578 0.0860952479691645 0.0882734835660063 0.0543282109356141 0.142327796194829 0.0879995852592148 0.0409981693770068
"8" "Abrocoma_cinerea" "Abrocoma_cinerea_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_cinerea" 5 0 "sampled" 0.152080645864214 0.158470929299748 0.162699302275407 0.100232807755869 0.25471684479185 0.15448403703598 0.101673353659834 0.112599808826139 0.117778983048902 0.0510334265470371 0.215232684279397 0.16419925773236 0.0849532285689446 0.0875102040963903 0.0911778970060433 0.0564479208557405 0.153304625799247 0.0968567049435061 0.0829883443619747
"9" "Abrocoma_famatina" "Abrocoma_famatina_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_famatina" 0 0 "imputed" 0.155387331615769 0.172075133582477 0.172847930025103 0.0743498387777769 0.272377958021696 0.198028119243919 0.122477655567857 0.130733953905224 0.136263431743352 0.0645168313983199 0.22920042634284 0.16468359494452 0.0866871882144222 0.0914687360000514 0.0927895579214377 0.0535697508991163 0.149447069344886 0.0958773184457698 0.0653979245701888
"10" "Abrocoma_shistacea" "Abrocoma_shistacea_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_shistacea" 0 0 "imputed" 0.161016941641786 0.174831285494993 0.17622045980904 0.0835513464743372 0.270729910147488 0.187178563673151 0.101775079213081 0.111107040808439 0.117338781070178 0.052498994387111 0.211476242450522 0.158977248063411 0.0856719659757321 0.0881065025249796 0.0915555032690315 0.0556295397455537 0.147141967254488 0.0915124275089348 0.0653979245701888
"11" "Abrocoma_uspallata" "Abrocoma_uspallata_ABROCOMIDAE_RODENTIA" "Abrocoma" "ABROCOMIDAE" "RODENTIA" "Guinea_pig-related" "Euarchontoglires" "Abrocoma_uspallata" 0 0 "imputed" 0.160361747286925 0.175294673501561 0.175849659117874 0.0822589623889251 0.271056949232562 0.188797986843637 0.122477655567857 0.130733953905224 0.136263431743352 0.0645168313983199 0.22920042634284 0.16468359494452 NA NA NA NA NA NA 0.0973217019474001
